RA,Nome Anonimizado,Idade,Gênero,Ano ingresso,Fase,Turma,Instituição de ensino,PEDRA_CLASSIFICACAO,INDE_2024_CLEAN,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Defasagem,Ativo/ Inativo,INDE 22,INDE 23,Pedra 22,Pedra 23,ANOS_NA_PM,RISCO_DEFASAGEM
RA-1275,Aluno-1275,8,Masculino,2024,ALFA,ALFA A - G0/G1,Pública,Ametista,7.611366666700001,10.0,8.0,8.6666666665,10.002,6.26,5.625,5.446666667,0,Cursando,,,,,0,0
RA-1276,Aluno-1276,8,Feminino,2024,ALFA,ALFA A - G0/G1,Pública,Topázio,8.002866666700001,10.0,8.0,9.3333333335,10.002,3.76,7.5,7.05,0,Cursando,,,,,0,0
RA-1277,Aluno-1277,8,Masculino,2024,ALFA,ALFA A - G0/G1,Pública,Ametista,7.952200000100001,10.0,8.0,9.0833333335,10.002,3.76,7.5,7.046666667,0,Cursando,,,,,0,0
RA-868,Aluno-868,8,Masculino,2023,ALFA,ALFA A - G0/G1,Pública,Ametista,7.156366666600001,5.0,7.0,9.75,8.002,3.76,6.875,7.213333333,-1,Cursando,,8.63895,,Topázio,1,0
RA-1278,Aluno-1278,9,Masculino,2024,ALFA,ALFA A - G0/G1,Pública,Quartzo,5.444199999900001,5.0,7.5,4.1666666665,9.002,3.76,5.0,4.173333333,-1,Cursando,,,,,0,0
RA-1279,Aluno-1279,9,Feminino,2024,ALFA,ALFA B - G2/G3,Pública,Topázio,8.0822,5.0,8.25,10.0,10.002,6.26,7.5,7.78,-1,Cursando,,,,,0,0
RA-861,Aluno-861,9,Feminino,2023,ALFA,ALFA B - G2/G3,Pública,Topázio,8.959700000000002,5.0,10.0,10.0,9.502,7.51,8.125,9.73,-1,Cursando,,9.31095,,Topázio,1,0
RA-862,Aluno-862,10,Masculino,2023,ALFA,ALFA B - G2/G3,Pública,Ametista,7.346677272700001,5.0,7.5,8.6136363635,9.002,7.51,7.1875,6.27,-2,Cursando,,8.2212,,Topázio,1,0
RA-1280,Aluno-1280,9,Masculino,2024,ALFA,ALFA B - G2/G3,Pública,Topázio,8.152624242500002,5.0,8.5,9.5454545455,10.002,6.26,7.5,8.336666667,-1,Cursando,,,,,0,0
RA-1281,Aluno-1281,9,Feminino,2024,ALFA,ALFA B - G2/G3,Pública,Ametista,7.982890909100001,5.0,9.25,9.5454545455,7.918,6.26,7.5,7.78,-1,Cursando,,,,,0,0
